asof_date,spy_open,spy_high,spy_low,spy_close,spy_volume,gld_close,vix_close,spy_logret,gld_logret,logret,ret,atr_14,ewma_vol_20,dd_252,net_logret_20,snr_20,trend_score_20,net_logret_60,snr_60,trend_score_60,net_logret_200,snr_200,trend_score_200,slope_20,tstat_20,trend_tstat_20,slope_60,tstat_60,trend_tstat_60,slope_200,tstat_200,trend_tstat_200,vix_chg_1d,vix_ret_1d,week_logret,week_ret,fwd_week_logret,fwd_week_ret
2007-01-05,99.36681293752598,99.41602321406002,98.6988856197294,98.81137084960938,76645300,60.16999816894531,12.140000343322754,-0.008008288904817,-0.0242993955601206,-0.008008288904817,-0.0079763079869777,0.80363529115966,0.0047076650471823,-0.013823252425351,-0.0040741809934118,0.2143164124578901,0.1929070296538734,0.0451076348493865,1.2792285586334868,0.721748127317497,0.0954716193490545,1.0717976152612632,0.6576075260564809,0.0002364612564402,1.3082573015341914,0.1226293396806785,0.0009029762546798,21.088729365923335,0.8786253136595018,0.0006337505344642,19.49578461221016,0.8576659417326009,0.630000114440918,0.0547350218864521,-0.008008288904817,-0.007976307986977682,0.0190291453501995,0.01921135345635072
2007-01-12,99.9433019539038,100.7096710205078,99.91518333804926,100.7096710205078,55370600,62.16999816894531,10.149999618530272,0.0075682913680409,0.0250827011282802,0.0075682913680407,0.0075970032728041,0.8381750355921694,0.0047759545148162,0.0,0.0162243522275367,0.7827482817910184,0.5428520879909724,0.0512651533025018,1.446120806614433,0.764518001188381,0.1173597326329324,1.317177039980475,0.7321095203401848,-4.197430447234217e-05,-0.2275609783568147,0.0224991307216347,0.0008192610154614,18.07103829672607,0.8358712059299638,0.0006775294175171,21.513490730003973,0.8836728819059159,-0.7200002670288104,-0.0662373757690042,0.0190291453501995,0.01921135345635072,-0.0029366836512766,-0.002932375813793131
2007-01-19,100.2174792419458,100.61121486383982,100.16124202415968,100.4143524169922,56973000,63.0,10.399999618530272,0.0019623374822228,0.0118155883370622,0.001962337482223,0.0019642641264561,0.7909696924307416,0.0041120936806978,-0.0029323758137931,0.006109644356962,0.3169537601767281,0.2716355662102561,0.0483284696512252,1.357934962731203,0.7428086613503017,0.110484058918051,1.2412534937120276,0.7109782961064911,0.0003906803720983,2.006753806887141,0.1818220151763896,0.000781181994239,17.33112749041379,0.8232665739251289,0.0007132034335875,23.27576652112144,0.9024681855461136,-0.4500007629394567,-0.0414747232366917,-0.0029366836512766,-0.002932375813793131,-0.0048423821540481025,-0.004830676723263427
2007-01-26,100.23864166625756,100.29487891773788,99.5425849868802,99.92928314208984,67255600,64.16999816894531,11.130000114440918,-0.0009136962921936,0.0017156771582206,-0.0009136962921936,-0.0009132789988393,0.767868208331055,0.0053463698226848,-0.0126428068410689,0.0038772784316378,0.1712424385125233,0.1573827341699539,0.0356972315040237,0.9476543443743876,0.6123507505118543,0.1055650557295228,1.1809241856895392,0.6930051128258665,0.000528913679635,2.6799854859086283,0.2350911087021877,0.0007568056269564,16.07781177268147,0.799668378338027,0.0007563664585011,25.98580893368613,0.9256209448344662,-0.0900001525878906,-0.008021403783061,-0.0048423821540481025,-0.004830676723263427,0.0186801604530091,0.018855726144839213
2007-02-02,101.7572743701457,101.91195360207904,101.51120157621756,101.8135223388672,49607000,64.27999877929688,10.079999923706056,0.0013824564931367,-0.0145176671989637,0.0013824564931367,0.0013834125266218,0.7276875269037139,0.0050992381809294,0.0,0.021921951093067,0.9543607195464336,0.614941773915538,0.0643610608716382,1.7012519089650218,0.8175450359907536,0.1168724096166964,1.3265948056130934,0.7346206071195469,0.0009729517253802,4.6553846116762045,0.372203030127984,0.0006716219690304,15.600187711331165,0.7898678732543792,0.0007929041535366,28.310456894035045,0.941048823193264,-0.2300004959106427,-0.022308485601322,0.0186801604530091,0.018855726144839213,-0.006025655412700901,-0.006007537560036025
2007-02-09,101.98932412361084,102.17915973454592,100.81517558228327,101.20187377929688,79084400,66.12000274658203,11.100000381469728,-0.0074747467569862,0.0091159261826131,-0.0074747467569862,-0.0074468803122119,0.7663560544199187,0.0046500646128283,-0.0087456332363954,0.0124437306030241,0.563159700546533,0.4305929373511038,0.0459620856143863,1.2494168209177945,0.7133280708060258,0.1133749323163654,1.2835235739294686,0.72294066055931,0.0008840141629762,4.112241567474792,0.3371616647384231,0.0006546029662112,15.491366704473243,0.787568707103958,0.000841446409419,32.60093336367237,0.9616151848488544,0.6600008010864276,0.0632184700779647,-0.006025655412700901,-0.006007537560036025,0.012359069313620602,0.012435758219615733
2007-02-16,102.25650623807998,102.48148746804064,102.10885392450656,102.46039581298828,39841800,66.36000061035156,10.020000457763672,-0.0004798661767227,-0.0007532281767395,-0.0004798661767227,-0.0004797510593633,0.6839937749125562,0.0047262179037025,-0.0004797510593633,0.0201711921998805,0.8777053776256378,0.5842642253565267,0.0426741984042888,1.1367775773697328,0.679148723843577,0.118017059521295,1.3391640398378282,0.7379353473538788,0.0011808506379603,5.524513859801129,0.4244627841812655,0.0006731262374795,15.544199992713544,0.7886880918342029,0.0008872550085315,38.2881400641765,0.9782646216311374,-0.1999998092651367,-0.0195694524500518,0.012359069313620602,0.012435758219615733,-0.0029555859184829,-0.0029512224743254434
2007-02-23,102.46737077910288,102.50251636386682,101.9681768826892,102.15801239013672,71966200,67.72000122070312,10.579999923706056,-0.003915385672683,0.0084526295979895,-0.003915385672683,-0.0039077305443856,0.6834960222964749,0.0040998256017359,-0.0050672260459401,0.0211442921432521,1.1931818312728646,0.6967451783215075,0.0402167688163796,1.0704343214210386,0.6571404261809677,0.1076292384405309,1.2271217508930865,0.7068649195837303,0.0011563480303762,5.6413756738778496,0.4311494694853354,0.0007174844855284,16.481166396375293,0.8075880513748509,0.0009276439744833,46.277418712394145,0.9902231885063768,0.399999618530277,0.0392926921944105,-0.0029555859184829,-0.0029512224743254434,-0.0467032778773376,-0.0456294615668118
2007-03-02,98.46685604892312,98.89573745542368,97.48957031649785,97.49659729003906,162574000,63.709999084472656,18.61000061035156,-0.0131815422807744,-0.0325822171205064,-0.0131815422807744,-0.0130950462199226,1.1897138474429028,0.0121502306029509,-0.0504654728166386,-0.0419429934017643,0.9143863368854596,0.5992375161998007,-0.0055590240227375,0.1012185238898301,0.096264476495583,0.0827708340376235,0.8596488340265809,0.5766892914629919,-0.0015117459855798,-2.858345220461245,0.248613056366142,0.0003991760247133,4.948560133395884,0.3903413163053014,0.0009447063162443,52.72232675232982,0.9948678606284052,2.7900009155273384,0.1763591004644666,-0.0467032778773376,-0.0456294615668118,0.015101444755220399,0.015216047735540306
2007-03-09,99.35274362504764,99.4300832515969,98.48795378505476,98.98011016845705,107765100,64.25,14.09000015258789,0.0002840033294658,-0.0035734264846675,0.0002840033294658,0.0002840436622295,1.4101859515998092,0.0110380027102732,-0.0360173101244729,-0.0296730964839659,0.5801291040067351,0.4401739138911373,0.0010209841688117,0.0175760664194453,0.0174225083292638,0.1242399751650663,1.297137860482461,0.7266870656168458,-0.002637430235076,-4.783552378079859,0.380198019227287,0.0001137979527974,1.099894188392892,0.1041563856883664,0.0009288479969152,47.42703408940075,0.9912849460446572,-0.1999998092651367,-0.0139957879495474,0.015101444755220399,0.015216047735540306,-0.0121527655169223,-0.012079218895163613
