date,spy_open,spy_high,spy_low,spy_close,spy_volume,gld_close,vix_close,spy_logret,gld_logret
2006-01-04,87.57370754944428,88.00860582283492,87.463254184751,87.87744903564453,51899600,53.29999923706055,11.369999885559082,0.004724435983710169,0.003382831797150453
2006-01-05,87.77390046464164,88.077636684626,87.58751172809734,87.93267059326172,47307500,52.34000015258789,11.3100004196167,0.0006281954593940406,-0.018175416840417152
2006-01-06,88.37448886574569,88.7610651534754,87.91887658374405,88.66442108154297,62885900,53.720001220703125,11.0,0.008287278905073032,0.02602449436115473
2006-01-09,88.65058890047678,89.09239176293781,88.62298082994033,88.89220428466797,43527400,54.599998474121094,11.130000114440918,0.0025657541937964463,0.016248460425883546
2006-01-10,88.62992100832554,89.03720607002064,88.54017630430542,88.98197937011719,44960800,54.060001373291016,10.859999656677246,0.0010094224043928483,-0.009939288552968184
2006-01-11,89.06480423580945,89.35473644366705,88.86460617795143,89.2649917602539,49598900,54.529998779296875,10.9399995803833,0.0031755112152945246,0.008656420300679264
2006-01-12,89.10626736377978,89.24432888600792,88.6644641725983,88.91297912597656,40509200,54.43000030517578,11.199999809265137,-0.003951252677381661,-0.001835508499204341
2006-01-13,88.75416853450218,88.98196414919116,88.49874377446366,88.83009338378906,44856700,55.439998626708984,11.229999542236328,-0.0009326467358213125,0.018385852058020367
2006-01-17,88.49872578855476,88.65059652309162,88.22950231067796,88.58847045898438,52066600,55.2599983215332,11.90999984741211,-0.0027237631615580674,-0.003252040989607987
2006-01-18,88.07076772807567,88.9819819695624,87.7808354451746,88.23644256591797,75067600,54.06999969482422,12.25,-0.003981660187136816,-0.02176979137145157
2006-01-19,88.45040912652935,88.89221202747287,88.22950240935157,88.57466125488281,81530400,55.59000015258789,11.979999542236328,0.003825767660334649,0.02772383396043182
2006-01-20,88.55394447424649,88.57465316041292,86.95931243896484,86.95931243896484,114957800,55.20000076293945,14.5600004196167,-0.0184054902107287,-0.007040364605841864
2006-01-23,87.12500765097585,87.5461019242466,87.06978096376173,87.26997375488281,67017400,55.77000045776367,13.930000305175781,0.0035661242944180966,0.010273131505108786
2006-01-24,87.41491684053666,87.7738849461975,87.26995077480241,87.35969543457031,53008800,55.72999954223633,13.3100004196167,0.0010275652241526305,-0.0007175052420346415
2006-01-25,87.69798785490781,87.79463194090121,86.86960320348298,87.4356689453125,87747700,56.13999938964844,12.869999885559082,0.000869285244444241,0.007329966694290513
2006-01-26,87.84295651317022,88.13288877949851,87.5047022024539,87.91889190673828,71294000,55.880001068115234,12.420000076293945,0.005511395680325799,-0.004642006558574431
2006-01-27,88.1259792977168,88.81629714801993,87.98100791445079,88.73345184326172,65771200,55.630001068115234,11.970000267028809,0.009222246276559987,-0.004483910215659325
2006-01-30,88.66442108154297,88.91983530020427,88.60229500674652,88.66442108154297,33709600,56.68000030517578,12.390000343322754,-0.0007782592210929593,0.018698776919120332
2006-01-31,88.58156847515527,88.73342867182458,88.00859827830949,88.0155029296875,72937000,56.70000076293945,12.949999809265137,-0.007345725027170728,0.00035280398276080644
2006-02-01,88.2364323440932,88.65752141093012,88.16740160854819,88.62991333007812,63561000,56.70000076293945,12.359999656677246,0.006956454247423487,0.0
2006-02-02,88.42971047205995,88.45731854813368,87.53229526517198,87.60132598876953,83626900,56.97999954223633,13.229999542236328,-0.011673288179233824,0.004926096846573146
2006-02-03,87.38042971491504,88.62990326654258,87.07668819295642,87.16642761230469,86040400,56.5,12.960000038146973,-0.004976882350237691,-0.008459682883606469
2006-02-06,87.28380083219217,87.53231570854987,87.09741204156998,87.39424896240234,45511900,56.720001220703125,13.039999961853027,0.002610226815328749,0.0038862655930409257
2006-02-07,87.24234491978692,87.43563829071351,86.56583655501429,86.62106323242188,71208100,54.599998474121094,13.59000015258789,-0.008886468763980809,-0.03809304894107721
2006-02-08,86.87647249621382,88.42969242709496,86.70389308908321,87.40802001953125,59422200,54.83000183105469,12.829999923706055,0.009044030301798407,0.00420366800672235
2006-02-09,87.61514273303722,88.08455909496608,87.23547106483618,87.2630844116211,62023300,56.18000030517578,13.119999885559082,-0.001659526246716265,0.02432330429712352
2006-02-10,87.27690122879247,87.76012170150246,86.60038730029036,87.42186737060547,64508700,54.790000915527344,12.869999885559082,0.001817935673272416,-0.025053114848127972
2006-02-13,87.39424122546524,87.52540330601677,86.94553355694822,87.2630844116211,52308700,53.720001220703125,13.350000381469727,-0.0018179356732724709,-0.019722317881601545
2006-02-14,87.2975694330103,88.38136793341334,87.12499002041933,88.18807983398438,90964400,54.4900016784668,12.25,0.010544290162629191,0.014231835019739241
2006-02-15,88.13976300909688,88.58157117676431,87.83602153967117,88.49872589111328,85471300,53.7599983215332,12.3100004196167,0.003516350594959873,-0.013487564404801337
