date,spy_open,spy_high,spy_low,spy_close,spy_volume,gld_close,vix_close,spy_logret,gld_logret,logret,ret,atr_14,ewma_vol_20,dd_252,net_logret_20,snr_20,trend_score_20,net_logret_60,snr_60,trend_score_60,net_logret_200,snr_200,trend_score_200,slope_20,tstat_20,trend_tstat_20,slope_60,tstat_60,trend_tstat_60,slope_200,tstat_200,trend_tstat_200,vix_chg_1d,vix_ret_1d
2007-01-05,99.36681293752598,99.41602321406002,98.6988856197294,98.81137084960938,76645300,60.16999816894531,12.140000343322754,-0.008008288904817,-0.0242993955601206,-0.008008288904817064,-0.007976307986977793,0.80363529115966,0.004707665047182347,-0.013823252425351096,-0.004074180993411836,0.2143164124578901,0.1929070296538734,0.04510763484938651,1.2792285586334868,0.721748127317497,0.09547161934905452,1.0717976152612632,0.6576075260564809,0.0002364612564402924,1.3082573015341914,0.12262933968067857,0.0009029762546798506,21.088729365923335,0.8786253136595018,0.0006337505344642449,19.49578461221016,0.8576659417326009,0.630000114440918,0.054735021886452184
2007-01-08,99.00823409253904,99.4230508266493,98.60747130560937,99.26837158203124,71655000,60.47999954223633,12.0,0.0046143188362494,0.0051388655015296,0.004614318836249204,0.004624981198949385,0.7919717271817461,0.004698854826940555,-0.009262203508977218,0.0013861403968385298,0.07075309814387053,0.06830809980878727,0.048389984600811065,1.364302022589324,0.7444410118472671,0.09400867495923258,1.0563281886214273,0.6522697309292224,0.00014980459679029588,0.8140941601203378,0.07818379213968119,0.0008745498320392159,19.98996641950457,0.8645288588719078,0.0006425659851713897,19.908489434119083,0.8634205719907498,-0.1400003433227539,-0.01153215316009093
2007-01-09,99.352746572755,99.55664683434554,98.71293789124722,99.18401336669922,75680100,60.849998474121094,11.90999984741211,-0.0008501608124771,0.0060990700550313,-0.0008501608124770247,-0.000849799528163997,0.8195937802943395,0.0044771964219902675,-0.010104132020969603,0.004918907862773448,0.2581103845263858,0.2274900457450918,0.048723502273388467,1.3743820311618606,0.7470041089161663,0.09523093060426639,1.0703832406796052,0.65712291221242,-2.0285769685295618e-05,-0.11627637022895015,0.01156029730483199,0.0008400343889839,18.936558612765115,0.849479480407015,0.0006508011050755813,20.3023362790011,0.8686951589095244,-0.09000015258789062,-0.007500012715657589
2007-01-10,98.83953369937667,99.53559060668668,98.64267107011484,99.51448822021484,72428000,60.59000015258789,11.470000267028809,0.0033263980915756,-0.0042819288821998,0.0033263980915756892,0.0033319366932027528,0.8266246046546541,0.004380640944340296,-0.006805861656000389,0.006405305425956326,0.33282450115752094,0.2831040024660525,0.0434275219722264,1.253275561937546,0.7144321320253155,0.09778905325618611,1.098577997007184,0.6666552359170362,-0.00012120037743108314,-0.7508936364337007,0.07233941650519349,0.0008228786448674834,18.2567256638331,0.8388907489831935,0.0006595056727577381,20.721763040429632,0.8740885383116979,-0.4399995803833008,-0.03694370999332186
2007-01-11,99.54255820354616,100.27376028630717,99.48631023899496,99.95034790039062,54476800,60.630001068115234,10.869999885559082,0.004370297866811,0.0006599722253165,0.004370297866811077,0.004379861545499519,0.8140695272923466,0.0043796569417222245,-0.0024558088422519386,0.007880093905905534,0.40394699501805764,0.33232048932858027,0.045232820861705866,1.2999620298409205,0.7274578586939902,0.1036198673450123,1.1632640985393086,0.6875354007239691,-0.00012359562747645358,-0.7677610991077601,0.07390282562390227,0.0008148214689037814,17.998183420775177,0.8346710811982267,0.0006684956581316536,21.142957070142213,0.8792817193413515,-0.6000003814697266,-0.05231040693124156
2007-01-12,99.9433019539038,100.7096710205078,99.91518333804926,100.7096710205078,55370600,62.16999816894531,10.149999618530272,0.0075682913680409,0.0250827011282802,0.007568291368040759,0.007597003272804104,0.8381750355921694,0.004775954514816201,0.0,0.016224352227536758,0.7827482817910184,0.5428520879909724,0.051265153302501844,1.4461208066144333,0.764518001188381,0.11735973263293241,1.317177039980475,0.7321095203401848,-4.197430447234217e-05,-0.22756097835681477,0.022499130721634786,0.0008192610154614773,18.07103829672607,0.8358712059299638,0.0006775294175171239,21.513490730003973,0.8836728819059159,-0.7200002670288104,-0.06623737576900424
2007-01-16,100.5901646287449,100.8503020988254,100.3511080778622,100.51282501220705,44871300,61.970001220703125,10.739999771118164,-0.0019565016335051,-0.0032221221565547,-0.0019565016335048274,-0.00195458893178857,0.818088015544778,0.004582788121553483,-0.00195458893178857,0.013209953957990102,0.6318114818595287,0.46837210606548685,0.05245620289744665,1.4846152503081593,0.7734104958507704,0.10915436031908633,1.227100278004942,0.7068586250593567,4.003104144553925e-06,0.020673562564954468,0.002065220747422658,0.000812309494280603,17.97912602106868,0.8343557068540643,0.0006870371585393343,21.96101549729986,0.8887640379513488,0.5900001525878924,0.058128096035665155
2007-01-17,100.4355002643252,100.86438170530889,100.35112293402686,100.55502319335938,50241400,62.63999938964844,10.59000015258789,0.0004197407208412,0.0107536252664413,0.00041974072084099767,0.00041982882430380286,0.8055337311966773,0.004361025201221376,-0.0015355807002579436,0.004857472825875099,0.2545053072561829,0.22470006163554057,0.05155701520835346,1.4591691775089124,0.7675706979753436,0.11134470452688204,1.2521512605618712,0.7141108871243002,0.00017462098245502595,0.8687152261741092,0.08320512452706064,0.0008053665012948323,17.87842180934008,0.8326791715172972,0.0006961768866478328,22.396097950892283,0.8934999468838116,-0.14999961853027344,-0.013966445225972013
2007-01-18,100.66044473515554,100.7237196636494,100.05579260819007,100.21749877929688,68177300,62.2599983215332,10.850000381469728,-0.0033622602208357,-0.0060849038842782,-0.003362260220835725,-0.003356614153561144,0.8100514282501895,0.004275967520107497,-0.004887040501906692,0.0014034211125517402,0.07225091530508938,0.0697025593424514,0.04658528515158012,1.3095044726458986,0.7300462072644158,0.10775136608173219,1.2105737043865723,0.701973748592931,0.00029135144083646534,1.4888617539583584,0.13833281175610435,0.0007927744468072858,17.556398062043133,0.827203349452258,0.0007046825995534768,22.834448473767726,0.8980675405599643,0.2600002288818377,0.024551484904209442
2007-01-19,100.2174792419458,100.61121486383982,100.16124202415968,100.4143524169922,56973000,63.0,10.399999618530272,0.0019623374822228,0.0118155883370622,0.0019623374822230954,0.0019642641264561167,0.7909696924307416,0.004112093680697892,-0.002932375813793131,0.00610964435696205,0.31695376017672816,0.2716355662102561,0.048328469651225274,1.357934962731203,0.7428086613503017,0.11048405891805108,1.2412534937120276,0.7109782961064911,0.00039068037209833844,2.006753806887141,0.18182201517638963,0.0007811819942390976,17.33112749041379,0.8232665739251289,0.0007132034335875805,23.27576652112144,0.9024681855461137,-0.4500007629394567,-0.04147472323669177
